schritt,sink_A,sink_B,sink_B2,sink_C,sink_D,D_minus_A,ki_unten,ki_oben
0,0.013636,0.013622,0.013632,0.013627,0.013627,-0.000010,-0.000024,0.000005
512,0.025825,0.026173,0.025959,0.025691,0.025558,-0.000267,-0.000554,0.000005
1000,0.046232,0.045982,0.046423,0.048520,0.046886,0.000654,0.000146,0.001131
2000,0.106800,0.106731,0.106959,0.111559,0.107979,0.001179,0.000134,0.002197
4000,0.146478,0.124815,0.146838,0.153232,0.120438,-0.026040,-0.027507,-0.024500
8000,0.147222,0.120561,0.146594,0.152297,0.116901,-0.030321,-0.031992,-0.028571
16000,0.162119,0.134978,0.160909,0.165427,0.132872,-0.029247,-0.031382,-0.026985
33000,0.173656,0.151645,0.171899,0.176702,0.153722,-0.019933,-0.022622,-0.017222
66000,0.184644,0.161050,0.182480,0.185156,0.163562,-0.021082,-0.024435,-0.017771
100000,0.204208,0.175226,0.203006,0.207789,0.184460,-0.019748,-0.023250,-0.016433
143000,0.206890,0.185256,0.205666,0.210271,0.207282,0.000392,-0.003039,0.003665
