bedingung,schicht,kopf,delta,p,signifikant_bh
B,0,0,0.000678,0.050190,0
B,0,1,0.001794,0.000600,1
B,0,2,0.000103,0.075785,0
B,0,3,0.000070,0.285343,0
B,0,4,0.000113,0.002000,1
B,0,5,-0.000576,0.677465,0
B,0,6,-0.000735,0.908818,0
B,0,7,-0.001332,0.988802,0
B,0,8,0.000155,0.032394,0
B,0,9,0.001019,0.000200,1
B,0,10,0.000390,0.238552,0
B,0,11,0.001340,0.179564,0
B,1,0,0.000916,0.003199,1
B,1,1,0.030282,0.000200,1
B,1,2,0.000002,0.442312,0
B,1,3,0.000569,0.054389,0
B,1,4,0.005812,0.010198,1
B,1,5,0.000424,0.109578,0
B,1,6,-0.000947,0.906019,0
B,1,7,-0.000044,0.740452,0
B,1,8,0.001895,0.099180,0
B,1,9,0.002833,0.028994,0
B,1,10,-0.007319,0.992202,0
B,1,11,-0.000190,0.904819,0
B,2,0,0.039322,0.000200,1
B,2,1,0.047300,0.000200,1
B,2,2,0.041301,0.000200,1
B,2,3,0.027645,0.000200,1
B,2,4,0.009234,0.000200,1
B,2,5,0.016173,0.000200,1
B,2,6,0.010008,0.000200,1
B,2,7,0.001615,0.085983,0
B,2,8,-0.000231,1.000000,0
B,2,9,0.038842,0.000200,1
B,2,10,0.007705,0.000600,1
B,2,11,0.023557,0.000200,1
B,3,0,-0.003040,1.000000,0
B,3,1,-0.006663,1.000000,0
B,3,2,-0.000108,1.000000,0
B,3,3,0.001536,0.000200,1
B,3,4,-0.000006,0.538692,0
B,3,5,0.008182,0.002599,1
B,3,6,0.005374,0.000200,1
B,3,7,0.022823,0.000200,1
B,3,8,0.003718,0.000200,1
B,3,9,0.003249,0.028794,0
B,3,10,0.009508,0.000200,1
B,3,11,-0.007430,1.000000,0
B,4,0,0.023839,0.000200,1
B,4,1,-0.009542,0.999400,0
B,4,2,-0.018829,1.000000,0
B,4,3,-0.000122,0.598680,0
B,4,4,-0.010270,0.999600,0
B,4,5,-0.001936,0.891422,0
