bedingung,schicht,kopf,delta,p,signifikant_bh
B,0,0,0.000758,0.006399,1
B,0,1,0.000002,0.250950,0
B,0,2,0.000446,0.101980,0
B,0,3,0.000030,0.000200,1
B,0,4,0.000248,0.000200,1
B,0,5,0.000161,0.001200,1
B,0,6,0.000804,0.000200,1
B,0,7,0.000258,0.000400,1
B,0,8,-0.000252,0.811638,0
B,0,9,-0.000163,0.857429,0
B,0,10,0.000075,0.313337,0
B,0,11,-0.000429,0.951010,0
B,1,0,0.000835,0.000200,1
B,1,1,-0.001506,1.000000,0
B,1,2,-0.000258,1.000000,0
B,1,3,0.000157,0.311738,0
B,1,4,-0.000446,0.990402,0
B,1,5,0.000869,0.061588,0
B,1,6,0.001802,0.001000,1
B,1,7,-0.001869,0.999800,0
B,1,8,0.000404,0.124775,0
B,1,9,0.001814,0.000200,1
B,1,10,0.000049,0.000800,1
B,1,11,-0.000248,0.991202,0
B,2,0,0.000465,0.331734,0
B,2,1,-0.013186,1.000000,0
B,2,2,0.007289,0.000200,1
B,2,3,-0.009639,1.000000,0
B,2,4,0.028006,0.000200,1
B,2,5,-0.006696,1.000000,0
B,2,6,0.007338,0.000200,1
B,2,7,0.005699,0.000200,1
B,2,8,-0.002963,1.000000,0
B,2,9,-0.008423,1.000000,0
B,2,10,-0.000170,0.968606,0
B,2,11,0.008070,0.000200,1
B,3,0,-0.039949,1.000000,0
B,3,1,-0.021385,1.000000,0
B,3,2,-0.040149,1.000000,0
B,3,3,-0.014759,1.000000,0
B,3,4,-0.024558,1.000000,0
B,3,5,0.007924,0.003599,1
B,3,6,-0.026738,1.000000,0
B,3,7,-0.064611,1.000000,0
B,3,8,-0.027778,1.000000,0
B,3,9,0.041532,0.000200,1
B,3,10,-0.013623,1.000000,0
B,3,11,0.019310,0.000200,1
B,4,0,-0.010954,0.999800,0
B,4,1,-0.008109,0.999400,0
B,4,2,-0.012695,0.999800,0
B,4,3,-0.022804,1.000000,0
B,4,4,0.047352,0.000200,1
B,4,5,-0.023768,1.000000,0
B,4,6,-0.038405,1.000000,0
B,4,7,-0.035656,1.000000,0
B,4,8,-0.084261,1.000000,0
B,4,9,0.076090,0.000200,1
B,4,10,-0.005260,0.984003,0
B,4,11,-0.000001,0.999600,0
B,5,0,-0.272773,1.000000,0
B,5,1,-0.021073,1.000000,0
B,5,2,-0.081965,1.000000,0
B,5,3,-0.022440,1.000000,0
B,5,4,-0.125738,1.000000,0
B,5,5,-0.087202,1.000000,0
B,5,6,-0.185029,1.000000,0
B,5,7,0.075477,0.000200,1
B,5,8,-0.028228,1.000000,0
B,5,9,-0.083828,1.000000,0
B,5,10,0.018004,0.000200,1
B,5,11,0.071113,0.000200,1
B,6,0,-0.012034,1.000000,0
B,6,1,-0.050266,1.000000,0
B,6,2,0.007634,0.000400,1
B,6,3,-0.048838,1.000000,0
B,6,4,-0.047794,1.000000,0
B,6,5,-0.077093,1.000000,0
B,6,6,-0.046765,1.000000,0
B,6,7,-0.035884,1.000000,0
B,6,8,-0.078248,1.000000,0
B,6,9,-0.167732,1.000000,0
B,6,10,-0.360935,1.000000,0
B,6,11,-0.004498,0.927015,0
B,7,0,-0.078854,1.000000,0
B,7,1,-0.213812,1.000000,0
B,7,2,-0.272010,1.000000,0
B,7,3,0.030162,0.000200,1
B,7,4,0.095330,0.000200,1
B,7,5,0.029482,0.000200,1
B,7,6,-0.216548,1.000000,0
B,7,7,-0.484773,1.000000,0
B,7,8,0.062939,0.000200,1
B,7,9,0.114396,0.000200,1
B,7,10,-0.295247,1.000000,0
B,7,11,-0.449792,1.000000,0
B,8,0,-0.138879,1.000000,0
B,8,1,-0.517474,1.000000,0
B,8,2,-0.106177,1.000000,0
B,8,3,-0.037738,1.000000,0
B,8,4,0.069322,0.000200,1
B,8,5,0.118222,0.000200,1
B,8,6,-0.442527,1.000000,0
B,8,7,0.054629,0.000200,1
B,8,8,-0.006900,0.871226,0
B,8,9,-0.042234,1.000000,0
B,8,10,0.013814,0.000200,1
B,8,11,-0.060472,1.000000,0
B,9,0,-0.067681,1.000000,0
B,9,1,-0.423250,1.000000,0
B,9,2,-0.090431,1.000000,0
B,9,3,0.115699,0.000200,1
B,9,4,-0.262980,1.000000,0
B,9,5,0.020004,0.000200,1
B,9,6,-0.287675,1.000000,0
B,9,7,0.008845,0.007199,1
B,9,8,-0.029754,1.000000,0
B,9,9,-0.287583,1.000000,0
B,9,10,0.088658,0.000200,1
B,9,11,-0.475054,1.000000,0
B,10,0,-0.161916,1.000000,0
B,10,1,-0.339189,1.000000,0
B,10,2,-0.297617,1.000000,0
B,10,3,-0.211691,1.000000,0
B,10,4,-0.191202,1.000000,0
B,10,5,0.021685,0.000200,1
B,10,6,-0.264085,1.000000,0
B,10,7,-0.135700,1.000000,0
B,10,8,-0.477964,1.000000,0
B,10,9,0.023904,0.000200,1
B,10,10,-0.237036,1.000000,0
B,10,11,-0.329058,1.000000,0
B,11,0,-0.046207,1.000000,0
B,11,1,-0.248426,1.000000,0
B,11,2,-0.209484,1.000000,0
B,11,3,-0.174397,1.000000,0
B,11,4,-0.150558,1.000000,0
B,11,5,-0.368511,1.000000,0
B,11,6,-0.285066,1.000000,0
B,11,7,-0.305645,1.000000,0
B,11,8,-0.000132,1.000000,0
B,11,9,-0.366527,1.000000,0
B,11,10,-0.132597,1.000000,0
B,11,11,-0.128112,1.000000,0
B2,0,0,-0.000064,0.582484,0
B2,0,1,0.000006,0.015397,0
B2,0,2,-0.000169,0.697461,0
B2,0,3,0.000016,0.003999,0
B2,0,4,0.000023,0.309738,0
B2,0,5,0.000010,0.417117,0
B2,0,6,0.000461,0.007598,0
B2,0,7,-0.000027,0.684263,0
B2,0,8,-0.000673,0.985403,0
B2,0,9,-0.000308,0.976405,0
B2,0,10,-0.000267,0.965607,0
B2,0,11,-0.000621,0.992801,0
B2,1,0,0.000029,0.438112,0
B2,1,1,0.000025,0.467906,0
B2,1,2,0.000014,0.378524,0
B2,1,3,-0.000398,0.905819,0
B2,1,4,-0.000006,0.524695,0
B2,1,5,-0.000378,0.754249,0
B2,1,6,0.000860,0.070386,0
B2,1,7,0.000311,0.248550,0
B2,1,8,-0.000514,0.927814,0
B2,1,9,-0.000200,0.682464,0
B2,1,10,-0.000019,0.907419,0
B2,1,11,-0.000019,0.572486,0
B2,2,0,-0.000745,0.781844,0
B2,2,1,-0.003217,0.823035,0
B2,2,2,0.000498,0.277544,0
B2,2,3,0.000128,0.386323,0
B2,2,4,-0.001091,0.723455,0
B2,2,5,0.000841,0.052789,0
B2,2,6,-0.002957,0.957209,0
B2,2,7,-0.000294,0.729854,0
