schritt,sink_A,sink_B,sink_B2,sink_C,sink_D,D_minus_A,ki_unten,ki_oben
0,0.013647,0.013615,0.013623,0.013616,0.013610,-0.000037,-0.000051,-0.000023
512,0.025487,0.026199,0.025560,0.025633,0.025796,0.000309,0.000041,0.000575
1000,0.044887,0.044325,0.044677,0.046411,0.045504,0.000617,0.000254,0.001014
2000,0.099382,0.101621,0.102027,0.107449,0.104220,0.004838,0.003784,0.005955
4000,0.145001,0.128558,0.147250,0.153567,0.125021,-0.019980,-0.021397,-0.018583
8000,0.150857,0.126101,0.150958,0.157463,0.122255,-0.028602,-0.030308,-0.026781
16000,0.168323,0.139722,0.166989,0.171910,0.137193,-0.031130,-0.033277,-0.028788
33000,0.182891,0.156202,0.180269,0.184657,0.157791,-0.025100,-0.027903,-0.022324
66000,0.193608,0.164049,0.190378,0.193327,0.167832,-0.025776,-0.028975,-0.022466
100000,0.210196,0.175475,0.208531,0.213526,0.185855,-0.024342,-0.027957,-0.020700
143000,0.215185,0.184855,0.213351,0.218618,0.207899,-0.007285,-0.010628,-0.003627
