bedingung,schicht,kopf,delta,p,signifikant_bh
B,0,0,-0.001165,0.999800,0
B,0,1,0.003657,0.000200,1
B,0,2,-0.000469,1.000000,0
B,0,3,-0.000206,0.951210,0
B,0,4,-0.000200,1.000000,0
B,0,5,-0.006825,1.000000,0
B,0,6,-0.000609,0.937013,0
B,0,7,-0.003599,1.000000,0
B,0,8,-0.000088,0.871426,0
B,0,9,-0.000269,0.848430,0
B,0,10,-0.001224,0.983003,0
B,0,11,0.008542,0.000200,1
B,1,0,0.000385,0.098580,0
B,1,1,0.025035,0.000200,1
B,1,2,-0.000020,0.918216,0
B,1,3,0.000707,0.018596,0
B,1,4,0.003541,0.053789,0
B,1,5,0.000528,0.099980,0
B,1,6,-0.000359,0.730254,0
B,1,7,0.000129,0.009798,1
B,1,8,0.011820,0.000200,1
B,1,9,0.005828,0.000200,1
B,1,10,0.001242,0.331134,0
B,1,11,-0.001177,1.000000,0
B,2,0,0.029499,0.000200,1
B,2,1,0.043613,0.000200,1
B,2,2,0.033751,0.000200,1
B,2,3,0.031230,0.000200,1
B,2,4,0.007744,0.000200,1
B,2,5,0.040287,0.000200,1
B,2,6,0.011426,0.000200,1
B,2,7,0.003966,0.000200,1
B,2,8,-0.000664,1.000000,0
B,2,9,0.030268,0.000200,1
B,2,10,0.013982,0.000200,1
B,2,11,0.024354,0.000200,1
B,3,0,-0.003603,1.000000,0
B,3,1,-0.008801,1.000000,0
B,3,2,-0.000114,1.000000,0
B,3,3,0.001688,0.000200,1
B,3,4,0.000280,0.000200,1
B,3,5,-0.017999,1.000000,0
B,3,6,-0.003726,0.996401,0
B,3,7,0.031576,0.000200,1
B,3,8,-0.003585,0.999800,0
B,3,9,-0.005836,0.999400,0
B,3,10,0.003490,0.001600,1
B,3,11,0.005118,0.000200,1
B,4,0,0.008692,0.006799,1
B,4,1,-0.022132,1.000000,0
B,4,2,-0.021228,1.000000,0
B,4,3,0.003793,0.000200,1
B,4,4,-0.036965,1.000000,0
B,4,5,-0.007524,1.000000,0
B,4,6,-0.064362,1.000000,0
B,4,7,-0.032003,1.000000,0
B,4,8,-0.031308,1.000000,0
B,4,9,0.001844,0.248950,0
B,4,10,-0.036031,1.000000,0
B,4,11,-0.025278,1.000000,0
B,5,0,-0.065990,1.000000,0
B,5,1,-0.044714,1.000000,0
B,5,2,-0.181412,1.000000,0
B,5,3,-0.020681,1.000000,0
B,5,4,-0.090516,1.000000,0
B,5,5,0.012825,0.000200,1
B,5,6,-0.022833,1.000000,0
B,5,7,-0.110414,1.000000,0
B,5,8,0.009013,0.000200,1
B,5,9,-0.017720,1.000000,0
B,5,10,-0.094885,1.000000,0
B,5,11,-0.017480,1.000000,0
B,6,0,0.000710,0.405919,0
B,6,1,-0.090623,1.000000,0
B,6,2,0.019690,0.000200,1
B,6,3,-0.056327,1.000000,0
B,6,4,-0.051290,1.000000,0
B,6,5,-0.023230,1.000000,0
B,6,6,-0.168450,1.000000,0
B,6,7,-0.059299,1.000000,0
B,6,8,-0.021106,1.000000,0
B,6,9,0.026279,0.000200,1
B,6,10,-0.167907,1.000000,0
B,6,11,-0.199759,1.000000,0
B,7,0,-0.042312,1.000000,0
B,7,1,0.029356,0.000200,1
B,7,2,0.093290,0.000200,1
B,7,3,-0.259373,1.000000,0
B,7,4,-0.039315,1.000000,0
B,7,5,-0.077015,1.000000,0
B,7,6,0.017242,0.000400,1
B,7,7,-0.076769,1.000000,0
B,7,8,-0.053363,1.000000,0
B,7,9,-0.099672,1.000000,0
B,7,10,0.200382,0.000200,1
B,7,11,-0.140551,1.000000,0
B,8,0,0.019714,0.000200,1
B,8,1,-0.034546,1.000000,0
B,8,2,-0.131013,1.000000,0
B,8,3,-0.308971,1.000000,0
B,8,4,-0.013511,1.000000,0
B,8,5,-0.106913,1.000000,0
B,8,6,-0.053454,1.000000,0
B,8,7,-0.014364,1.000000,0
B,8,8,-0.141962,1.000000,0
B,8,9,0.019129,0.000400,1
B,8,10,-0.114000,1.000000,0
B,8,11,-0.193209,1.000000,0
B,9,0,0.015506,0.001000,1
B,9,1,0.013037,0.027594,0
B,9,2,-0.157041,1.000000,0
B,9,3,-0.005479,0.994201,0
B,9,4,-0.120882,1.000000,0
B,9,5,0.021265,0.003199,1
B,9,6,-0.117949,1.000000,0
B,9,7,-0.104952,1.000000,0
B,9,8,-0.105402,1.000000,0
B,9,9,-0.281792,1.000000,0
B,9,10,0.155401,0.000200,1
B,9,11,-0.069556,1.000000,0
B,10,0,-0.036736,1.000000,0
B,10,1,0.038750,0.000200,1
B,10,2,0.290102,0.000200,1
B,10,3,-0.068454,1.000000,0
B,10,4,-0.211698,1.000000,0
B,10,5,0.000020,0.086783,0
B,10,6,-0.262383,1.000000,0
B,10,7,-0.084281,1.000000,0
B,10,8,-0.089683,1.000000,0
B,10,9,-0.114571,1.000000,0
B,10,10,-0.038633,0.999200,0
B,10,11,-0.060633,1.000000,0
B,11,0,0.006937,0.024195,0
B,11,1,-0.005996,0.884423,0
B,11,2,-0.027502,1.000000,0
B,11,3,-0.022941,0.999800,0
B,11,4,-0.103491,1.000000,0
B,11,5,-0.064251,1.000000,0
B,11,6,-0.024608,1.000000,0
B,11,7,-0.010497,0.972006,0
B,11,8,0.033842,0.000200,1
B,11,9,0.032934,0.000200,1
B,11,10,0.135338,0.000200,1
B,11,11,-0.014496,1.000000,0
B2,0,0,-0.001439,1.000000,0
B2,0,1,0.003477,0.000200,1
B2,0,2,-0.000453,1.000000,0
B2,0,3,-0.000339,0.995801,0
B2,0,4,-0.000223,1.000000,0
B2,0,5,-0.005351,0.999800,0
B2,0,6,-0.000972,0.995001,0
B2,0,7,-0.002257,1.000000,0
B2,0,8,-0.000337,1.000000,0
B2,0,9,-0.001245,1.000000,0
B2,0,10,-0.001566,0.997001,0
B2,0,11,0.005631,0.000600,1
B2,1,0,-0.000497,0.972406,0
B2,1,1,-0.002408,0.963407,0
B2,1,2,-0.000049,0.999600,0
B2,1,3,-0.001207,1.000000,0
B2,1,4,-0.004282,0.979404,0
B2,1,5,-0.000613,0.946611,0
B2,1,6,-0.000654,0.881024,0
B2,1,7,-0.000042,0.823635,0
B2,1,8,0.007045,0.000200,1
B2,1,9,0.002888,0.012797,0
B2,1,10,0.006550,0.010798,0
B2,1,11,-0.001419,1.000000,0
B2,2,0,-0.003296,0.934013,0
B2,2,1,-0.000529,0.629274,0
B2,2,2,-0.000158,0.534893,0
B2,2,3,0.000228,0.451510,0
B2,2,4,-0.000524,0.673265,0
B2,2,5,0.010419,0.000600,1
B2,2,6,-0.000839,0.704859,0
B2,2,7,0.002561,0.002799,1
B2,2,8,-0.000377,1.000000,0
B2,2,9,-0.003742,0.986203,0
B2,2,10,0.007636,0.000200,1
B2,2,11,0.000406,0.411718,0
B2,3,0,-0.000772,1.000000,0
B2,3,1,-0.002324,1.000000,0
B2,3,2,0.000021,0.172366,0
B2,3,3,-0.000122,0.939412,0
B2,3,4,0.000311,0.000200,1
B2,3,5,-0.010009,1.000000,0
B2,3,6,-0.005118,1.000000,0
B2,3,7,0.007330,0.000200,1
B2,3,8,-0.005376,1.000000,0
B2,3,9,-0.006157,1.000000,0
B2,3,10,-0.008154,1.000000,0
B2,3,11,0.007201,0.000200,1
B2,4,0,-0.012754,0.999400,0
B2,4,1,-0.000568,0.596881,0
B2,4,2,-0.000745,0.627874,0
B2,4,3,0.001270,0.001200,1
B2,4,4,-0.011957,1.000000,0
B2,4,5,-0.005391,0.993601,0
B2,4,6,-0.007317,0.946811,0
B2,4,7,-0.005780,1.000000,0
B2,4,8,-0.005137,0.961208,0
B2,4,9,-0.000836,0.628474,0
B2,4,10,-0.015928,0.999600,0
B2,4,11,-0.003829,0.880424,0
B2,5,0,-0.004341,0.928414,0
B2,5,1,-0.005742,1.000000,0
B2,5,2,-0.003763,0.917417,0
B2,5,3,-0.008388,0.994601,0
B2,5,4,-0.005407,0.963407,0
B2,5,5,0.002301,0.189362,0
B2,5,6,-0.012713,0.998800,0
B2,5,7,-0.008741,0.997001,0
B2,5,8,-0.003811,0.944811,0
B2,5,9,-0.011349,0.999600,0
