bedingung,schicht,kopf,delta,p,signifikant_bh
B,0,0,0.001254,0.000200,1
B,0,1,0.000004,0.062188,0
B,0,2,0.000441,0.101180,0
B,0,3,0.000032,0.000200,1
B,0,4,0.000094,0.039192,0
B,0,5,0.000055,0.165567,0
B,0,6,0.000713,0.000200,1
B,0,7,0.000170,0.012398,0
B,0,8,-0.001328,0.999800,0
B,0,9,-0.001019,1.000000,0
B,0,10,-0.000537,0.999600,0
B,0,11,-0.000768,0.998400,0
B,1,0,0.000456,0.006799,1
B,1,1,-0.001657,1.000000,0
B,1,2,-0.000395,1.000000,0
B,1,3,-0.000824,0.996801,0
B,1,4,-0.001180,1.000000,0
B,1,5,0.000164,0.373125,0
B,1,6,0.001344,0.027195,0
B,1,7,-0.003842,1.000000,0
B,1,8,0.000107,0.406119,0
B,1,9,0.002319,0.000200,1
B,1,10,-0.000008,0.730254,0
B,1,11,-0.000685,1.000000,0
B,2,0,-0.000372,0.673465,0
B,2,1,-0.017535,1.000000,0
B,2,2,0.004714,0.000200,1
B,2,3,-0.010452,1.000000,0
B,2,4,0.023591,0.000200,1
B,2,5,-0.007038,1.000000,0
B,2,6,0.008440,0.000200,1
B,2,7,0.003633,0.000200,1
B,2,8,-0.002036,0.998000,0
B,2,9,-0.008968,1.000000,0
B,2,10,-0.000720,1.000000,0
B,2,11,0.007971,0.000200,1
B,3,0,-0.032242,1.000000,0
B,3,1,-0.023606,1.000000,0
B,3,2,-0.037838,1.000000,0
B,3,3,-0.009208,0.993201,0
B,3,4,-0.012831,1.000000,0
B,3,5,0.008150,0.001800,1
B,3,6,-0.025710,1.000000,0
B,3,7,-0.059620,1.000000,0
B,3,8,-0.024801,1.000000,0
B,3,9,0.045983,0.000200,1
B,3,10,-0.004690,1.000000,0
B,3,11,0.010538,0.000200,1
B,4,0,0.015268,0.000200,1
B,4,1,-0.024770,1.000000,0
B,4,2,-0.027450,1.000000,0
B,4,3,-0.018661,1.000000,0
B,4,4,0.056291,0.000200,1
B,4,5,-0.036908,1.000000,0
B,4,6,-0.037248,1.000000,0
B,4,7,-0.034849,1.000000,0
B,4,8,-0.072368,1.000000,0
B,4,9,0.069471,0.000200,1
B,4,10,0.017496,0.000200,1
B,4,11,0.000000,0.428514,0
B,5,0,-0.245104,1.000000,0
B,5,1,-0.015513,1.000000,0
B,5,2,-0.107291,1.000000,0
B,5,3,-0.080530,1.000000,0
B,5,4,-0.131327,1.000000,0
B,5,5,-0.112045,1.000000,0
B,5,6,-0.171701,1.000000,0
B,5,7,0.094733,0.000200,1
B,5,8,-0.032263,1.000000,0
B,5,9,-0.103616,1.000000,0
B,5,10,0.009097,0.002799,1
B,5,11,0.068068,0.000200,1
B,6,0,-0.048046,1.000000,0
B,6,1,-0.033623,1.000000,0
B,6,2,0.010333,0.000200,1
B,6,3,-0.076851,1.000000,0
B,6,4,-0.051560,1.000000,0
B,6,5,-0.115280,1.000000,0
B,6,6,-0.024334,1.000000,0
B,6,7,-0.047179,1.000000,0
B,6,8,-0.125484,1.000000,0
B,6,9,-0.182452,1.000000,0
B,6,10,-0.324629,1.000000,0
B,6,11,-0.053273,1.000000,0
B,7,0,-0.108182,1.000000,0
B,7,1,-0.252272,1.000000,0
B,7,2,-0.264930,1.000000,0
B,7,3,-0.012023,1.000000,0
B,7,4,0.061061,0.000200,1
B,7,5,0.052856,0.000200,1
B,7,6,-0.199758,1.000000,0
B,7,7,-0.427288,1.000000,0
B,7,8,0.047555,0.000200,1
B,7,9,0.049974,0.000200,1
B,7,10,-0.285155,1.000000,0
B,7,11,-0.381910,1.000000,0
B,8,0,-0.129332,1.000000,0
B,8,1,-0.497053,1.000000,0
B,8,2,-0.079320,1.000000,0
B,8,3,-0.086654,1.000000,0
B,8,4,0.055606,0.000200,1
B,8,5,0.077088,0.000200,1
B,8,6,-0.398487,1.000000,0
B,8,7,-0.014166,1.000000,0
B,8,8,-0.041992,1.000000,0
B,8,9,-0.075316,1.000000,0
B,8,10,0.008845,0.000800,1
B,8,11,-0.030309,1.000000,0
B,9,0,-0.070902,1.000000,0
B,9,1,-0.373719,1.000000,0
