bedingung,schicht,kopf,delta,p,signifikant_bh
B,0,0,-0.000630,0.757243,0
B,0,1,0.000008,0.153846,0
B,0,2,0.001227,0.072927,0
B,0,3,0.000027,0.065934,0
B,0,4,0.000091,0.279720,0
B,0,5,0.000051,0.402597,0
B,0,6,0.000707,0.068931,0
B,0,7,0.000454,0.010989,0
B,0,8,0.000030,0.479520,0
B,0,9,-0.000187,0.671329,0
B,0,10,0.000332,0.188811,0
B,0,11,-0.000257,0.623377,0
B,1,0,0.000545,0.220779,0
B,1,1,-0.001794,0.996004,0
B,1,2,-0.000412,1.000000,0
B,1,3,-0.001736,0.986014,0
B,1,4,-0.001380,0.991009,0
B,1,5,0.000271,0.434565,0
B,1,6,0.000689,0.379620,0
B,1,7,-0.003971,1.000000,0
B,1,8,0.001055,0.156843,0
B,1,9,0.003285,0.017982,0
B,1,10,0.000020,0.299700,0
B,1,11,-0.000532,0.939061,0
B,2,0,-0.000489,0.599401,0
B,2,1,-0.022568,0.968032,0
B,2,2,0.005705,0.016983,0
B,2,3,-0.009838,1.000000,0
B,2,4,0.026158,0.000999,1
B,2,5,-0.006168,1.000000,0
B,2,6,0.005572,0.097902,0
B,2,7,0.005656,0.000999,1
B,2,8,-0.002330,0.834166,0
B,2,9,-0.007712,1.000000,0
B,2,10,-0.000846,0.995005,0
B,2,11,0.009252,0.000999,1
B,3,0,-0.032976,0.999001,0
B,3,1,-0.031800,1.000000,0
B,3,2,-0.039610,1.000000,0
B,3,3,-0.006225,0.722278,0
B,3,4,-0.018277,0.991009,0
B,3,5,0.002827,0.405594,0
B,3,6,-0.026753,1.000000,0
B,3,7,-0.060653,1.000000,0
B,3,8,-0.026413,1.000000,0
B,3,9,0.038123,0.000999,1
B,3,10,-0.004735,0.899101,0
B,3,11,0.010858,0.008991,0
B,4,0,0.009322,0.158841,0
B,4,1,-0.021404,0.999001,0
B,4,2,-0.040515,1.000000,0
B,4,3,-0.021163,0.998002,0
B,4,4,0.055251,0.000999,1
B,4,5,-0.036499,1.000000,0
B,4,6,-0.039626,1.000000,0
B,4,7,-0.035076,1.000000,0
B,4,8,-0.072902,1.000000,0
B,4,9,0.063380,0.000999,1
B,4,10,0.008104,0.184815,0
B,4,11,-0.000000,0.990010,0
B,5,0,-0.251001,1.000000,0
B,5,1,-0.017266,0.950050,0
B,5,2,-0.096222,1.000000,0
B,5,3,-0.086279,1.000000,0
B,5,4,-0.130986,1.000000,0
B,5,5,-0.111656,1.000000,0
B,5,6,-0.169916,1.000000,0
B,5,7,0.093404,0.000999,1
B,5,8,-0.034676,1.000000,0
B,5,9,-0.104284,1.000000,0
B,5,10,0.014815,0.044955,0
B,5,11,0.070484,0.000999,1
B,6,0,-0.033314,1.000000,0
B,6,1,-0.021403,0.958042,0
